"Evaluation","Journal","issnJournal","nameJournal","KnowledgeField","idKnowledgeField","nameKnowledgeField","YearEvaluation","yearIndex","Qualis","qualisIndex"
"Journal_1414-915X_KnowledgeField_40_YearEvaluation_2014_Qualis_C","Journal_1414-915X","1414-915X","(Syn)Thesis (Rio de Janeiro)","KnowledgeField_40","40","HISTÓRIA","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_1981-0385_KnowledgeField_45_YearEvaluation_2014_Qualis_B5","Journal_1981-0385","1981-0385","+ Geografias (Feira de Santana)","KnowledgeField_45","45","INTERDISCIPLINAR","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_2158-3978_KnowledgeField_14_YearEvaluation_2014_Qualis_C","Journal_2158-3978","2158-3978","12th International Workshop on Variable Structure Systems (VSS)","KnowledgeField_14","14","ENGENHARIAS IV","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_1988-2963_KnowledgeField_41_YearEvaluation_2014_Qualis_B2","Journal_1988-2963","1988-2963","1611 - Revista de Historia de la Traducción","KnowledgeField_41","41","LETRAS / LINGUÍSTICA","YearEvaluation_2014","2014","Qualis_B2","B2"
"Journal_1981-030X_KnowledgeField_10_YearEvaluation_2014_Qualis_B5","Journal_1981-030X","1981-030X","19&20 (Rio de Janeiro)","KnowledgeField_10","10","ENGENHARIAS I","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1981-030X_KnowledgeField_11_YearEvaluation_2014_Qualis_B2","Journal_1981-030X","1981-030X","19&20 (Rio de Janeiro)","KnowledgeField_11","11","ARTES / MÚSICA","YearEvaluation_2014","2014","Qualis_B2","B2"
"Journal_1981-030X_KnowledgeField_21_YearEvaluation_2014_Qualis_B5","Journal_1981-030X","1981-030X","19&20 (Rio de Janeiro)","KnowledgeField_21","21","EDUCAÇÃO FÍSICA","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1981-030X_KnowledgeField_29_YearEvaluation_2014_Qualis_B3","Journal_1981-030X","1981-030X","19&20 (Rio de Janeiro)","KnowledgeField_29","29","ARQUITETURA E URBANISMO","YearEvaluation_2014","2014","Qualis_B3","B3"
"Journal_1981-030X_KnowledgeField_34_YearEvaluation_2014_Qualis_B4","Journal_1981-030X","1981-030X","19&20 (Rio de Janeiro)","KnowledgeField_34","34","SOCIOLOGIA","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_1981-030X_KnowledgeField_40_YearEvaluation_2014_Qualis_B5","Journal_1981-030X","1981-030X","19&20 (Rio de Janeiro)","KnowledgeField_40","40","HISTÓRIA","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1981-030X_KnowledgeField_41_YearEvaluation_2014_Qualis_B5","Journal_1981-030X","1981-030X","19&20 (Rio de Janeiro)","KnowledgeField_41","41","LETRAS / LINGUÍSTICA","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1981-030X_KnowledgeField_45_YearEvaluation_2014_Qualis_B2","Journal_1981-030X","1981-030X","19&20 (Rio de Janeiro)","KnowledgeField_45","45","INTERDISCIPLINAR","YearEvaluation_2014","2014","Qualis_B2","B2"
"Journal_1968-6293_KnowledgeField_41_YearEvaluation_2014_Qualis_B4","Journal_1968-6293","1968-6293","2.0.1 Revue de recherche sur l'art du XIXe au XXIe siècle","KnowledgeField_41","41","LETRAS / LINGUÍSTICA","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_2166-9570_KnowledgeField_3_YearEvaluation_2014_Qualis_C","Journal_2166-9570","2166-9570","2012 IEEE 23RD INTERNATIONAL SYMPOSIUM ON PERSONAL INDOOR AND MOBILE RADIO COMMUNICATIONS (PIMRC)","KnowledgeField_3","3","ASTRONOMIA / FÍSICA","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_1950-196X_KnowledgeField_34_YearEvaluation_2014_Qualis_C","Journal_1950-196X","1950-196X","2050 / Deux Mille Cinquante","KnowledgeField_34","34","SOCIOLOGIA","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_1746-6512_KnowledgeField_15_YearEvaluation_2014_Qualis_B4","Journal_1746-6512","1746-6512","20Th Century History Review","KnowledgeField_15","15","MEDICINA I","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_1746-6512_KnowledgeField_16_YearEvaluation_2014_Qualis_B5","Journal_1746-6512","1746-6512","20Th Century History Review","KnowledgeField_16","16","MEDICINA II","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_0895-6820_KnowledgeField_46_YearEvaluation_2014_Qualis_A2","Journal_0895-6820","0895-6820","21st Century Science & Technology (Online)","KnowledgeField_46","46","ENSINO","YearEvaluation_2014","2014","Qualis_A2","A2"
"Journal_2237-6143_KnowledgeField_13_YearEvaluation_2014_Qualis_C","Journal_2237-6143","2237-6143","2º Congresso Brasileiro de Engenharia de Produção","KnowledgeField_13","13","ENGENHARIAS III","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_1668-2939_KnowledgeField_45_YearEvaluation_2014_Qualis_C","Journal_1668-2939","1668-2939","30-60 Cuaderno latinoamericano de arquitectura","KnowledgeField_45","45","INTERDISCIPLINAR","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_1676-2916_KnowledgeField_41_YearEvaluation_2014_Qualis_C","Journal_1676-2916","1676-2916","404notf0und (UFBA)","KnowledgeField_41","41","LETRAS / LINGUÍSTICA","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_1619-4500_KnowledgeField_13_YearEvaluation_2014_Qualis_B1","Journal_1619-4500","1619-4500","4OR","KnowledgeField_13","13","ENGENHARIAS III","YearEvaluation_2014","2014","Qualis_B1","B1"
"Journal_1619-4500_KnowledgeField_48_YearEvaluation_2014_Qualis_B4","Journal_1619-4500","1619-4500","4OR","KnowledgeField_48","48","BIOTECNOLOGIA","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_1678-6416_KnowledgeField_15_YearEvaluation_2014_Qualis_B5","Journal_1678-6416","1678-6416","7 Faces (Itabira)","KnowledgeField_15","15","MEDICINA I","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1678-6416_KnowledgeField_36_YearEvaluation_2014_Qualis_B5","Journal_1678-6416","1678-6416","7 Faces (Itabira)","KnowledgeField_36","36","GEOGRAFIA","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_2316-6592_KnowledgeField_40_YearEvaluation_2014_Qualis_B4","Journal_2316-6592","2316-6592","7 Mares","KnowledgeField_40","40","HISTÓRIA","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_2316-6592_KnowledgeField_41_YearEvaluation_2014_Qualis_C","Journal_2316-6592","2316-6592","7 Mares","KnowledgeField_41","41","LETRAS / LINGUÍSTICA","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_9788-461X_KnowledgeField_45_YearEvaluation_2014_Qualis_C","Journal_9788-461X","9788-461X","978-846-148-798-1","KnowledgeField_45","45","INTERDISCIPLINAR","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_2241-1852_KnowledgeField_41_YearEvaluation_2014_Qualis_C","Journal_2241-1852","2241-1852","????? ?? ??????? [Lógoi em Serrais]","KnowledgeField_41","41","LETRAS / LINGUÍSTICA","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_1981-5530_KnowledgeField_11_YearEvaluation_2014_Qualis_C","Journal_1981-5530","1981-5530","@rquivo@ (Unesp)","KnowledgeField_11","11","ARTES / MÚSICA","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_1981-5530_KnowledgeField_18_YearEvaluation_2014_Qualis_B5","Journal_1981-5530","1981-5530","@rquivo@ (Unesp)","KnowledgeField_18","18","ODONTOLOGIA","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1516-1528_KnowledgeField_10_YearEvaluation_2014_Qualis_B4","Journal_1516-1528","1516-1528","@rquivos da Fundação Otorrinolaringologia","KnowledgeField_10","10","ENGENHARIAS I","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_1516-1528_KnowledgeField_12_YearEvaluation_2014_Qualis_B5","Journal_1516-1528","1516-1528","@rquivos da Fundação Otorrinolaringologia","KnowledgeField_12","12","ENGENHARIAS II","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1516-1528_KnowledgeField_13_YearEvaluation_2014_Qualis_B5","Journal_1516-1528","1516-1528","@rquivos da Fundação Otorrinolaringologia","KnowledgeField_13","13","ENGENHARIAS III","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1516-1528_KnowledgeField_15_YearEvaluation_2014_Qualis_C","Journal_1516-1528","1516-1528","@rquivos da Fundação Otorrinolaringologia","KnowledgeField_15","15","MEDICINA I","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_1516-1528_KnowledgeField_16_YearEvaluation_2014_Qualis_B5","Journal_1516-1528","1516-1528","@rquivos da Fundação Otorrinolaringologia","KnowledgeField_16","16","MEDICINA II","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1516-1528_KnowledgeField_17_YearEvaluation_2014_Qualis_B5","Journal_1516-1528","1516-1528","@rquivos da Fundação Otorrinolaringologia","KnowledgeField_17","17","MEDICINA III","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1516-1528_KnowledgeField_18_YearEvaluation_2014_Qualis_B5","Journal_1516-1528","1516-1528","@rquivos da Fundação Otorrinolaringologia","KnowledgeField_18","18","ODONTOLOGIA","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1516-1528_KnowledgeField_21_YearEvaluation_2014_Qualis_C","Journal_1516-1528","1516-1528","@rquivos da Fundação Otorrinolaringologia","KnowledgeField_21","21","EDUCAÇÃO FÍSICA","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_1516-1528_KnowledgeField_45_YearEvaluation_2014_Qualis_B4","Journal_1516-1528","1516-1528","@rquivos da Fundação Otorrinolaringologia","KnowledgeField_45","45","INTERDISCIPLINAR","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_1516-1528_KnowledgeField_49_YearEvaluation_2014_Qualis_C","Journal_1516-1528","1516-1528","@rquivos da Fundação Otorrinolaringologia","KnowledgeField_49","49","CIÊNCIAS AMBIENTAIS","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_1809-4872_KnowledgeField_13_YearEvaluation_2014_Qualis_B5","Journal_1809-4872","1809-4872","@rquivos Internacionais de Otorrinolaringologia","KnowledgeField_13","13","ENGENHARIAS III","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1809-4872_KnowledgeField_14_YearEvaluation_2014_Qualis_B4","Journal_1809-4872","1809-4872","@rquivos Internacionais de Otorrinolaringologia","KnowledgeField_14","14","ENGENHARIAS IV","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_1809-4872_KnowledgeField_15_YearEvaluation_2014_Qualis_B4","Journal_1809-4872","1809-4872","@rquivos Internacionais de Otorrinolaringologia","KnowledgeField_15","15","MEDICINA I","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_1809-4872_KnowledgeField_16_YearEvaluation_2014_Qualis_B4","Journal_1809-4872","1809-4872","@rquivos Internacionais de Otorrinolaringologia","KnowledgeField_16","16","MEDICINA II","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_1809-4872_KnowledgeField_17_YearEvaluation_2014_Qualis_B5","Journal_1809-4872","1809-4872","@rquivos Internacionais de Otorrinolaringologia","KnowledgeField_17","17","MEDICINA III","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1809-4872_KnowledgeField_18_YearEvaluation_2014_Qualis_B3","Journal_1809-4872","1809-4872","@rquivos Internacionais de Otorrinolaringologia","KnowledgeField_18","18","ODONTOLOGIA","YearEvaluation_2014","2014","Qualis_B3","B3"
"Journal_1809-4872_KnowledgeField_20_YearEvaluation_2014_Qualis_B2","Journal_1809-4872","1809-4872","@rquivos Internacionais de Otorrinolaringologia","KnowledgeField_20","20","ENFERMAGEM","YearEvaluation_2014","2014","Qualis_B2","B2"
"Journal_1809-4872_KnowledgeField_21_YearEvaluation_2014_Qualis_B1","Journal_1809-4872","1809-4872","@rquivos Internacionais de Otorrinolaringologia","KnowledgeField_21","21","EDUCAÇÃO FÍSICA","YearEvaluation_2014","2014","Qualis_B1","B1"
"Journal_1809-4872_KnowledgeField_22_YearEvaluation_2014_Qualis_B3","Journal_1809-4872","1809-4872","@rquivos Internacionais de Otorrinolaringologia","KnowledgeField_22","22","SAÚDE COLETIVA","YearEvaluation_2014","2014","Qualis_B3","B3"
"Journal_1809-4872_KnowledgeField_45_YearEvaluation_2014_Qualis_B2","Journal_1809-4872","1809-4872","@rquivos Internacionais de Otorrinolaringologia","KnowledgeField_45","45","INTERDISCIPLINAR","YearEvaluation_2014","2014","Qualis_B2","B2"
"Journal_1809-4872_KnowledgeField_48_YearEvaluation_2014_Qualis_B4","Journal_1809-4872","1809-4872","@rquivos Internacionais de Otorrinolaringologia","KnowledgeField_48","48","BIOTECNOLOGIA","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_1809-4856_KnowledgeField_8_YearEvaluation_2014_Qualis_C","Journal_1809-4856","1809-4856","@rquivos internacionais de otorrinolaringologia (Online)","KnowledgeField_8","8","CIÊNCIAS BIOLÓGICAS II","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_1809-4856_KnowledgeField_13_YearEvaluation_2014_Qualis_B5","Journal_1809-4856","1809-4856","@rquivos internacionais de otorrinolaringologia (Online)","KnowledgeField_13","13","ENGENHARIAS III","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1809-4856_KnowledgeField_14_YearEvaluation_2014_Qualis_B4","Journal_1809-4856","1809-4856","@rquivos internacionais de otorrinolaringologia (Online)","KnowledgeField_14","14","ENGENHARIAS IV","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_1809-4856_KnowledgeField_15_YearEvaluation_2014_Qualis_B4","Journal_1809-4856","1809-4856","@rquivos internacionais de otorrinolaringologia (Online)","KnowledgeField_15","15","MEDICINA I","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_1809-4856_KnowledgeField_16_YearEvaluation_2014_Qualis_B4","Journal_1809-4856","1809-4856","@rquivos internacionais de otorrinolaringologia (Online)","KnowledgeField_16","16","MEDICINA II","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_1809-4856_KnowledgeField_17_YearEvaluation_2014_Qualis_B4","Journal_1809-4856","1809-4856","@rquivos internacionais de otorrinolaringologia (Online)","KnowledgeField_17","17","MEDICINA III","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_1809-4856_KnowledgeField_18_YearEvaluation_2014_Qualis_B3","Journal_1809-4856","1809-4856","@rquivos internacionais de otorrinolaringologia (Online)","KnowledgeField_18","18","ODONTOLOGIA","YearEvaluation_2014","2014","Qualis_B3","B3"
"Journal_1809-4856_KnowledgeField_19_YearEvaluation_2014_Qualis_B5","Journal_1809-4856","1809-4856","@rquivos internacionais de otorrinolaringologia (Online)","KnowledgeField_19","19","FARMÁCIA","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1809-4856_KnowledgeField_21_YearEvaluation_2014_Qualis_B1","Journal_1809-4856","1809-4856","@rquivos internacionais de otorrinolaringologia (Online)","KnowledgeField_21","21","EDUCAÇÃO FÍSICA","YearEvaluation_2014","2014","Qualis_B1","B1"
"Journal_1809-4856_KnowledgeField_22_YearEvaluation_2014_Qualis_B3","Journal_1809-4856","1809-4856","@rquivos internacionais de otorrinolaringologia (Online)","KnowledgeField_22","22","SAÚDE COLETIVA","YearEvaluation_2014","2014","Qualis_B3","B3"
"Journal_1809-4856_KnowledgeField_41_YearEvaluation_2014_Qualis_C","Journal_1809-4856","1809-4856","@rquivos internacionais de otorrinolaringologia (Online)","KnowledgeField_41","41","LETRAS / LINGUÍSTICA","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_1809-4856_KnowledgeField_45_YearEvaluation_2014_Qualis_B2","Journal_1809-4856","1809-4856","@rquivos internacionais de otorrinolaringologia (Online)","KnowledgeField_45","45","INTERDISCIPLINAR","YearEvaluation_2014","2014","Qualis_B2","B2"
"Journal_1809-4856_KnowledgeField_48_YearEvaluation_2014_Qualis_B4","Journal_1809-4856","1809-4856","@rquivos internacionais de otorrinolaringologia (Online)","KnowledgeField_48","48","BIOTECNOLOGIA","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_1809-4856_KnowledgeField_50_YearEvaluation_2014_Qualis_B3","Journal_1809-4856","1809-4856","@rquivos internacionais de otorrinolaringologia (Online)","KnowledgeField_50","50","NUTRIÇÃO","YearEvaluation_2014","2014","Qualis_B3","B3"
"Journal_1989-3477_KnowledgeField_13_YearEvaluation_2014_Qualis_B3","Journal_1989-3477","1989-3477","@tic (Valencia)","KnowledgeField_13","13","ENGENHARIAS III","YearEvaluation_2014","2014","Qualis_B3","B3"
"Journal_1989-3477_KnowledgeField_38_YearEvaluation_2014_Qualis_C","Journal_1989-3477","1989-3477","@tic (Valencia)","KnowledgeField_38","38","EDUCAÇÃO","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_0953-7198_KnowledgeField_9_YearEvaluation_2014_Qualis_C","Journal_0953-7198","0953-7198","A & E Letter (London)","KnowledgeField_9","9","CIÊNCIAS BIOLÓGICAS III","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_0953-7198_KnowledgeField_15_YearEvaluation_2014_Qualis_B5","Journal_0953-7198","0953-7198","A & E Letter (London)","KnowledgeField_15","15","MEDICINA I","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_0104-7922_KnowledgeField_45_YearEvaluation_2014_Qualis_B5","Journal_0104-7922","0104-7922","A Água em Revista","KnowledgeField_45","45","INTERDISCIPLINAR","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_0104-7922_KnowledgeField_49_YearEvaluation_2014_Qualis_B5","Journal_0104-7922","0104-7922","A Água em Revista","KnowledgeField_49","49","CIÊNCIAS AMBIENTAIS","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_2236-6695_KnowledgeField_26_YearEvaluation_2014_Qualis_C","Journal_2236-6695","2236-6695","A Barriguda: Revista Científica","KnowledgeField_26","26","DIREITO","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_2236-6695_KnowledgeField_40_YearEvaluation_2014_Qualis_B3","Journal_2236-6695","2236-6695","A Barriguda: Revista Científica","KnowledgeField_40","40","HISTÓRIA","YearEvaluation_2014","2014","Qualis_B3","B3"
"Journal_1677-0579_KnowledgeField_10_YearEvaluation_2014_Qualis_C","Journal_1677-0579","1677-0579","A Construção em Goiás","KnowledgeField_10","10","ENGENHARIAS I","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_1677-0579_KnowledgeField_24_YearEvaluation_2014_Qualis_B5","Journal_1677-0579","1677-0579","A Construção em Goiás","KnowledgeField_24","24","MEDICINA VETERINÁRIA","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1677-0579_KnowledgeField_29_YearEvaluation_2014_Qualis_C","Journal_1677-0579","1677-0579","A Construção em Goiás","KnowledgeField_29","29","ARQUITETURA E URBANISMO","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_1677-0579_KnowledgeField_41_YearEvaluation_2014_Qualis_C","Journal_1677-0579","1677-0579","A Construção em Goiás","KnowledgeField_41","41","LETRAS / LINGUÍSTICA","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_0010-6631_KnowledgeField_15_YearEvaluation_2014_Qualis_C","Journal_0010-6631","0010-6631","A Construção São Paulo","KnowledgeField_15","15","MEDICINA I","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_1548-7083_KnowledgeField_35_YearEvaluation_2014_Qualis_B2","Journal_1548-7083","1548-7083","A Contracorriente (Raleigh, N.C.)","KnowledgeField_35","35","ANTROPOLOGIA / ARQUEOLOGIA","YearEvaluation_2014","2014","Qualis_B2","B2"
"Journal_1548-7083_KnowledgeField_40_YearEvaluation_2014_Qualis_A2","Journal_1548-7083","1548-7083","A Contracorriente (Raleigh, N.C.)","KnowledgeField_40","40","HISTÓRIA","YearEvaluation_2014","2014","Qualis_A2","A2"
"Journal_1548-7083_KnowledgeField_41_YearEvaluation_2014_Qualis_A2","Journal_1548-7083","1548-7083","A Contracorriente (Raleigh, N.C.)","KnowledgeField_41","41","LETRAS / LINGUÍSTICA","YearEvaluation_2014","2014","Qualis_A2","A2"
"Journal_2145-1958_KnowledgeField_11_YearEvaluation_2014_Qualis_B5","Journal_2145-1958","2145-1958","A Contratiempo: Revista de Música en la Cultura","KnowledgeField_11","11","ARTES / MÚSICA","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_2145-1958_KnowledgeField_35_YearEvaluation_2014_Qualis_B5","Journal_2145-1958","2145-1958","A Contratiempo: Revista de Música en la Cultura","KnowledgeField_35","35","ANTROPOLOGIA / ARQUEOLOGIA","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_2145-1958_KnowledgeField_41_YearEvaluation_2014_Qualis_B5","Journal_2145-1958","2145-1958","A Contratiempo: Revista de Música en la Cultura","KnowledgeField_41","41","LETRAS / LINGUÍSTICA","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_2145-1958_KnowledgeField_45_YearEvaluation_2014_Qualis_B5","Journal_2145-1958","2145-1958","A Contratiempo: Revista de Música en la Cultura","KnowledgeField_45","45","INTERDISCIPLINAR","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1415-8973_KnowledgeField_31_YearEvaluation_2014_Qualis_B3","Journal_1415-8973","1415-8973","A Cor das Letras (UEFS)","KnowledgeField_31","31","CIÊNCIAS SOCIAIS APLICADAS I","YearEvaluation_2014","2014","Qualis_B3","B3"
"Journal_1415-8973_KnowledgeField_38_YearEvaluation_2014_Qualis_B4","Journal_1415-8973","1415-8973","A Cor das Letras (UEFS)","KnowledgeField_38","38","EDUCAÇÃO","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_1415-8973_KnowledgeField_40_YearEvaluation_2014_Qualis_B2","Journal_1415-8973","1415-8973","A Cor das Letras (UEFS)","KnowledgeField_40","40","HISTÓRIA","YearEvaluation_2014","2014","Qualis_B2","B2"
"Journal_1415-8973_KnowledgeField_41_YearEvaluation_2014_Qualis_B1","Journal_1415-8973","1415-8973","A Cor das Letras (UEFS)","KnowledgeField_41","41","LETRAS / LINGUÍSTICA","YearEvaluation_2014","2014","Qualis_B1","B1"
"Journal_1415-8973_KnowledgeField_45_YearEvaluation_2014_Qualis_B1","Journal_1415-8973","1415-8973","A Cor das Letras (UEFS)","KnowledgeField_45","45","INTERDISCIPLINAR","YearEvaluation_2014","2014","Qualis_B1","B1"
"Journal_0011-7641_KnowledgeField_26_YearEvaluation_2014_Qualis_C","Journal_0011-7641","0011-7641","A Defesa Nacional","KnowledgeField_26","26","DIREITO","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_0011-7641_KnowledgeField_34_YearEvaluation_2014_Qualis_C","Journal_0011-7641","0011-7641","A Defesa Nacional","KnowledgeField_34","34","SOCIOLOGIA","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_0011-7641_KnowledgeField_36_YearEvaluation_2014_Qualis_B5","Journal_0011-7641","0011-7641","A Defesa Nacional","KnowledgeField_36","36","GEOGRAFIA","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_0011-7641_KnowledgeField_40_YearEvaluation_2014_Qualis_B5","Journal_0011-7641","0011-7641","A Defesa Nacional","KnowledgeField_40","40","HISTÓRIA","YearEvaluation_2014","2014","Qualis_B5","B5"
